"","abstract.id","sort.id","FulltextReviewer.initial","title","author","short_citation","StudyType","StudyType_Processed","TaskforceAllocation","Scale","What.is.the.scale.of.the.shift","Scale_Processed","FulltextTopicIdentifier","InteractionType","InteractionType_Processed","journal","volume","number","pages","year","doi","Timestamp","FulltextReviewer","SpeciesInteracting","Species_Processed","TraitDescription","SpeciesTraitVariation","GeneticNotes","Trait_Processed","Is.there.a.shift.in.the.interaction","What.is.the.direction.of.shift","What.factors.are.driving.that.shift","What.is.the.ecological.impact.of.the.interaction.and.shift.of.that.interaction","Shift_Processed","Is.there.a.connection.to.the.NC3","Reviewer.notes","Reviewer.outstanding.concerns","ReviewerDecision","ReviewerDecisionReason","ReviewerDecision.checked.by","FinalDecision","FinalDecisionReason","FinalDecisionNotes","used.in.main.text.","WOS","SCO","Ref_Processed","TypeScale_Processed"
"25","MA228",25,"NL","Large-scale regional variation in cooperation and conflict among queens of the desert ant Messor pergandei","Helms, K.R. and Helms Cahan, S.","(Helms and Helms Cahan, 2012)","Observational, Experimental","Observational; Experimental","Intraspecific","Intra-specific (within population), Intra-specific (between populations)","Populations","Intraspecific","competition-cooperation","Competition-cooperation","Competition-cooperation","Animal Behaviour",84,3,"499-507",2012,"10.1016/j.anbehav.2012.05.019","43863.90838","NL","Messor pergandei","desert seed-harvester ant (Messor pergandei)","polygyny vs monogyny, behavioural phenotype, geographic variation, ","Messor pergandei","yes. Genetic differences correlaAC21:AF26te with geographic differences","Behavioural phenotype of female foundresses (sociality, aggression), linked to genetic variation","yes, queens from polygynous colonies fought less in an experimental setup than queens from  monogynous colonies  ","Mutualistic to antagonistic","Behavioural phenotype of males (AC21:AF26","homogeneity within colony, adaptation to environment, gene flow,natural selection","Variation between regions in social and nonsocial phenotypes in cooperative-competitive interactions with other females","yes, niche variation, but on population-level rather that individual level","","no","Yes","","NM","Include",NA,"Agree with reviewer decision","Coop-comp","","y","(Helms and Helms Cahan, 2012) MA228","Competition-cooperation (Intraspecific)"
"26","MA301",26,"NL","Reconciling with Valuable Partners by Longtailed Macaques","Cords, M. and Thurnheer, S.","(Cords and Thurnheer, 1993)",NA,"Experimental","Intraspecific","Intra-specific (within population), NA",NA,"Intraspecific","competition-cooperation",NA,"Competition-cooperation","Ethology",93,4,"315-325",1993,"10.1111/j.1439-0310.1993.tb01212.x","44045.16089","NL","Macaca fascicularis","longtailed macaque (Macaca fascicularis)","","Macaca fascicularis",NA,"Variation in individual 'value' related to access to food resources",NA,NA,NA,NA,"Individuals of higher 'value' are more likely to be reconciled with following an aggressive conflict, i.e. variation in conflict-cooperation linked to individual variation in resource-related traits",NA,"No full text available",NA,"Maybe","Full-text not accessible/not in English or German","NM","Include",NA,"Fulltext located, study meets criteria for inclusion (trait variation related to variation in 'value' to conspecifics, individuals more likely to reconcile to form cooperative relationships with higher value individuals following aggressive competitive interactions)","Coop-comp","y","y","(Cords and Thurnheer, 1993) MA301","Competition-cooperation (Intraspecific)"
"27","MA5",27,"UE","A Hypervariable Invertebrate Allodeterminant","Nicotra, M.L. and Powell, A.E. and Rosengarten, R.D. and Moreno, M. and Grimwood, J. and Lakkis, F.G. and Dellaporta, S.L. and Buss, L.W.","(Nicotra et al., 2009)","Experimental","Experimental","Intraspecific","Intra-specific (within population)","Individuals, although individual is not quite correct, as one ""individual"" is likely a colony of Cnidarians, if I understand correctly; also, they can fuse, so two ""individuals"" become one","Intraspecific","competition-cooperation","Competition-cooperation, colony fusion vs. colony competition","Competition-cooperation","Current Biology",19,7,"583-589",2009,"10.1016/j.cub.2009.02.040","43984.21934","UE","Hydractinia symbiolongicarpus (Cnidaria)","Hydractinia symbiolongicarpus (class Hydrozoa)","alleles (f vs. r) at locus alr1 and alr2","Hydractinia symbiolongicarpus (Cnidaria)","yes: 2 shared: fusion none shared: rejection  1 shared at alr2: initial fuse, but separation after 1-3 days (type I) 1 shared at alr1: initial fuse 1-4 days, then cyles of rejection and (re)fusion (type II)","Allorecognition (likelihood to fuse with or reject conspecific), linked with genetic alleles","yes","Both: two neighbours: either they fuse, or they fight (or occssionaly, a circle of initial fusion and then rejection)","alleles","???","Variation is associated with formation of cooperative colonies, or rejection, so more intraspecific variation is associated with a reduced likelihood of cooperation","yes; individual differences","mechanism of recognition foreign cells; on the genetic level elucidated","no","Yes","","NM","Include",NA,"Agree with reviewer decision","Coop-comp","y","y","(Nicotra et al., 2009) MA5","Competition-cooperation (Intraspecific)"
"28","MA331",28,"CF","Social cohesion in yellow-bellied marmots is established through age and kin structuring","Wey, Tina W. and Blumstein, Daniel T.","(Wey and Blumstein, 2010)","Observational","Observational","Intraspecific","Intra-specific (within population)","Individuals","Intraspecific","male-female","Group structure, social network","Competition-cooperation","ANIMAL BEHAVIOUR",79,6,"1343-1352",2010,"10.1016/j.anbehav.2010.03.008","3/29/2020 1:57:57","CF","yellow-bellied marmots, Marmota flaviventris","yellow-bellied marmot (Marmota flaviventris)","social interactions","M. flaviventris","No","Behavioural phenotype (initiation/receive cooperative interactions), linked with sex, age and body size","affiliative and antagonistic interactions are recorded, but not the shift","No direct shifts observed","not specified, mostly social I would guess",NA,"Variation in cooperative behavioural phenotypes linked to differential participation mutualistic-antagonistic social interactions","They look at the shift in interactions quality with age, sex and kinship, but less due to individual qualities beyond that","Variation in the behavioural traits are not really analysed here","While individual differences are recorded they are fed into network analysis and shift in interaction quality are analysed due to age, sex and kinship and less so due to individual differences","Maybe","There is no evidence of trait variation","NM","Include",NA,"Considering 'tendency to initiate and receive interactions' as the trait that varies with age/sex/size, and this influences whether cooperative social interaction are formed","Coop-comp","y","","(Wey and Blumstein, 2010) MA331","Competition-cooperation (Intraspecific)"
"29","MA395",29,"CF","Transitivity and structural balance in marmot social networks","Wey, Tina W. and Jordan, Ferenc and Blumstein, Daniel T.","(Wey et al., 2019)","Observational","Observational","Intraspecific","Intra-specific (within population)","Individuals","Intraspecific","male-female","Group interactions","Competition-cooperation","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY",73,6,NA,2019,"10.1007/s00265-019-2699-3","3/29/2020 1:51:33","CF","yellow-bellied marmots, Marmota  flaviventer ","yellow-bellied marmot (Marmota flaviventris)","different types of affiliative or agonistic interactions","M. flaviventer","No","Variation in social status or affiliation","it looks at both types or interactions, but not a shift","no direction specified","unclear, mostly social I guess",NA,"Variation in an individual's social affiliations is linked to variation between cooperative-antagonistic social interactions, due to transitivity effects of third party affiliations on social interactions","they recored individual behaviour for social network analysis, but do not particularly consider individual differences, so only spurious connection to the NC3","","They are not such much interested in individual variation and its causes as in network structure, i.e. balance and transitivity","Maybe","There is no evidence of trait variation","NM","Include",NA,"Considered social affiliation as the trait, i.e. interpreting this as a social interaction between marmot X - marmot Y (cooperative-antagonistic), trait that varies is social affiliation (Y's social connection to marmot Z can be +ve or -ve), interaction shifts because transitivity (if Y has +ve connection with Z, the X-Y interaction is more cooperative, and vice versa). ","Coop-comp","y","","(Wey et al., 2019) MA395","Competition-cooperation (Intraspecific)"
"30","MA401",30,"CF","Variable ecological conditions promote male helping by changing banded mongoose group composition","Marshall, Harry H. and Sanderson, Jennifer L. and Mwanghuya, Francis and Businge, Robert and Kyabulima, Solomon and Hares, Michelle C. and Inzani, Emma and Kalema-Zikusoka, Gladys and Mwesige, Kenneth and Thompson, Faye J. and Vitikainen, Emma I. K. and Cant, Michael A.","(Marshall et al., 2016)","Observational","Observational","Intraspecific","Intra-specific (within population)","Individuals, Social groups","Intraspecific","competition-cooperation","Competition-cooperation","Male-female; Competition-cooperation","BEHAVIORAL ECOLOGY",27,4,"978-987",2016,"10.1093/beheco/arw006","43893.92583","MW","banded mongoose, Mungos mungo","banded mongoose (Mungos mungo)","sensitivity to fluctuations in rainfall (and thus food availability)","banded mongoose, they focus on variation between the sexes; females are more sensitive to variation in rainfall than males","not discussed, variation between the sexes","Behavioural phenotype of males (helping behaviour), body condition and age","yes, with increasing variation in rainfall, males (at least older males) become more cooperative","Antagonistic to mutualistic","Variability in rainfall","Probably overall higher survival of pups in the group","Variation in male participation in reproductive helping behaviour, linked with age/body condition and influenced by in ecological conditions, shifting the interaction quality between group members and male-females in cooperative breeding groups","Variation in social niche","Variability in rainfall reduces female survival more than male survival, leading to more male-biased groups. Older males in such groups then increase their investment into cooperation, i.e. baby-sitting and escorting.","The variation here is between males and females. Is this individualised enough?","Yes","","NM","Include",NA,"Agree with reviewer decision","Coop-comp, Male-fem, Par-off","y","","(Marshall et al., 2016) MA401","Male-female; Competition-cooperation (Intraspecific)"
"31","MA11",31,"JW","Age-dependent change of coalitionary strategy in male Barbary macaques","Rathke, E.-M. and Berghnel, A. and Bissonnette, A. and Ostner, J. and Schlke, O.","(Rathke et al., 2017)","Observational","Observational","Intraspecific","Intra-specific (within population)","Individuals","Intraspecific","competition-cooperation","Competition-cooperation","Competition-cooperation","Primate Biology",4,1,"44013",2017,"10.5194/pb-4-1-2017","1/27/2020 19:50:17","JW","Macaca sylvanus","barbary macaque (Macaca sylvanus)","Age","Macaca sylvanus",NA,"Reproductive strategy of males (coalition-forming or one-on-one competition)","Yes","Antagonistic to mutualistic","Social","Reproductive strategy, mating success.","Variation in reproductive strategy shows variation between conflict and cooperation with between males, varies due to state-dependent effect of age and condition","Yes",NA,NA,"Yes","","NM","Include",NA,"Agree with reviewer decision","Coop-comp","","y","(Rathke et al., 2017) MA11","Competition-cooperation (Intraspecific)"
"32","MA354",32,"JW","Strategic adjustment of begging effort by banded mongoose pups","Bell, M.B.V.","(Bell, 2008)","Observational, Experimental","Observational; Experimental","Intraspecific","Intra-specific (within population)","Individuals","Intraspecific","competition-cooperation","Competition-cooperation","Parent-offspring; Competition-cooperation","Proceedings of the Royal Society B: Biological Sciences",275,1640,"1313-1319",2008,"10.1098/rspb.2008.0173","1/29/2020 19:38:48","JW","Banded mongoose (Mungos mungo)","banded mongoose (Mungos mungo)","variation in begging intensity; variation among helpers in responsiveness to begging","Banded mongoose (Mungos mungo)","Responsiveness to begging intensity varies by state and sex of pup, so there is some genetic basis","Behavioural phenotype (responsiveness to begging)","Yes","Antagonistic to mutualistic, Hard to respond to this question","ecological, social","Variation may have effects on signaller fitness","Variation in responsiveness to offspring begging in cooperative breeding groups, driven by state-dependent effects in the body condition of helpers","Yes",NA,"No","Yes","","NM","Include",NA,"Agree with reviewer decision","Coop-comp","y","y","(Bell, 2008) MA354","Parent-offspring; Competition-cooperation (Intraspecific)"
"33","MA174",33,"BC","Helping effort in primitively eusocial wasps","Field, J. and Cant, M.","(Field and Cant, 2006)","Observational","Observational","Intraspecific","Intra-specific (within population)","Individuals","Intraspecific","competition-cooperation","Competition-cooperation","Competition-cooperation","Annales Zoologici Fennici",43,43987,"481-487",2006,"www.jstor.org/stable/23736756","12/16/2019 6:08:25","BC","Polistes dominulus, Liostenogaster flavolineata","European paper wasp (Polistes dominulus); tropical hover wasp (Liostenogaster flavolineata)","greater expected future fitness","Polistes dominulus, Liostenogaster flavolineata","no","Behavioural phenotype (helping behaviour)","yes","Mutualistic to antagonistic","expected future fitness, i.e. rank order, or groups size ","","Variation in helping behaviour in eusocial groups showing among-individual variation in cooperative-competitive interactions within the group, depending on the future fitness expectation of the individual","promotion of individual differences  - niche choice or niche conformance","","no , except that they used data from a previous study","Yes","","NM","Include",NA,"Agree with reviewer decision","Coop-comp","y","y","(Field and Cant, 2006) MA174","Competition-cooperation (Intraspecific)"
"34","MA103",34,"JW","Does soil type drive social organization in southern hairy-nosed wombats?","Walker, Faith M. and Taylor, Andrea C. and Sunnucks, Paul","(Walker et al., 2007)","Observational","Observational","Intraspecific","Intra-specific (within population)","Populations","Intraspecific","competition-cooperation","Competition-cooperation","Competition-cooperation","MOLECULAR ECOLOGY",16,1,"199-208",2007,"10.1111/j.1365-294X.2006.03131.x","1/27/2020 23:29:37","JW","Southern hairy-nosed wombats (Lasiorhinus latifrons)","Southern hairy-nosed wombat (Lasiorhinus latifrons)","spatiotemporal social organization","Southern hairy-nosed wombats (Lasiorhinus latifrons)",NA,"Behavioural phenotype (sociality), relatedness ","Yes","Antagonistic to mutualistic","natural variation in wombat habitat structure (soil type and consequent burrow distributions)","population processes and behaviors","Variation in the level of sociality linked to cooperative-antagonistic social interactions (e.g. warren sharing), driven by environment variation in altering the relative costs of cooperative-antagonistic behaviours","Yes",NA,"No","Yes","","NM","Include",NA,"Agree with reviewer decision, social state as the trait driven by extrinsic conditions, towards more cooperative or competitive intraspecific interactions","Coop-comp","y","","(Walker et al., 2007) MA103","Competition-cooperation (Intraspecific)"
"35","MA39",35,"ET","Capuchin monkeys (Sapajus {[}Cebus] apella) play Nash equilibria in dynamic games, but their decisions are likely not influenced by oxytocin","Smith, Mackenzie F. and Leverett, Kelly L. and Wilson, Bart J. and Brosnan, Sarah F.","(Smith et al., 2019)","Experimental","Experimental","Intraspecific","Intra-specific (within population)","Individuals","Intraspecific","competition-cooperation","Competition-cooperation, Male-female","Competition-cooperation","AMERICAN JOURNAL OF PRIMATOLOGY",81,4,NA,2019,"10.1002/ajp.22973","11/21/2019 22:18:28","ET","Sapajus (Cebus) apella","tufted capuchin (Sapajus [Cebus] apella)","Behavioural phenotype (decision making)","","No","Behavioural phenotype (strategy, decision making)","Yes","Mutualistic to antagonistic","Social","Reproductive success / Dominance","Variation in choice of cooperative or anti-cooperative strategy, with among and within-individual variation in strategy linked to the benefit/payoff of different scenarios","Yes","","","Yes","","NM","Include",NA,"Agree with reviewer decision","Coop-comp","y","","(Smith et al., 2019) MA39","Competition-cooperation (Intraspecific)"
"36","MA332",36,"BC","Social complementation and growth advantages promote socially defective bacterial isolates","Kraemer, S.A. and Velicer, G.J.","(Kraemer and Velicer, 2014)","Experimental","Experimental","Intraspecific","Intra-specific (within population)","Individuals, Clones","Intraspecific","competition-cooperation","Competition-cooperation","Competition-cooperation","Proceedings of the Royal Society B: Biological Sciences",281,1781,NA,2014,"10.1098/rspb.2014.0036","12/22/2019 20:40:34","BC","","Myxococcus xanthus","sporulation/swarming intensity/frequency","Myxococcus xanthus","they look at clones, showing or not showing this trait as a result of a mutation","Sporulation and swarming intensity/frequency, linked to genetic strains","yes","","mutation, probably driven by social factors (density)","","Variation between strains is associated with varying levels of cooperative-competitive interactions between individual bacteria","yes","","","Yes","","NM","Include",NA,"Agree with reviewer decision","Coop-comp","y","y","(Kraemer and Velicer, 2014) MA332","Competition-cooperation (Intraspecific)"
"37","MA162",37,"NC","Gender- and sequence-dependent predation within group colonizers of defended plants: a constraint on cheating among bark beetles?","Aukema, BH and Raffa, KF","(Aukema and Raffa, 2004)","Experimental","Experimental","Interspecific","Inter-specific (2 species), Intra-specific (within population)","Individuals","Intraspecific","plant-animal","Competition-cooperation, Consumer-resource/predator-prey","Competition-cooperation","OECOLOGIA",138,2,"253-258",2004,"10.1007/s00442-003-1433-y","43983.42469","NC","Ips pini, Thanasimus dubius","pine engraver (Ips pini)","predation reduces the effciciency of cheating","Ips pini","No","Behavioural phenotype (host searching strategy)","No","Antagonistic to mutualistic","Predation","Propensity to colonize instead of follow and use provided resources","Predation pressure disproportionately effects responder (cheating) phenotype, so that intraspecific host-searching interactions between become more cooperative","Yes","","Measures are based on survival - no behaviour/inheritance implied","Maybe","There is no evidence of trait variation","NM","Include",NA,"Considered trait variation in cooperative breeding strategy (searching v cheating search strategy); Predation pressure disproportionately effects cheaters so intraspecific breeding interactions become more cooperative, less exploitative. ","Coop-comp","y","","(Aukema and Raffa, 2004) MA162","Competition-cooperation (Intraspecific)"
"38","non-systematic",38,NA,"Social rank modulates how environmental quality influences cooperation and conflict within animal societies.","Liu, M., Chen, B. F., Rubenstein, D. R., & Shen, S. F.","(Liu et al., 2020)",NA,"Experimental; Modelling/theory",NA,NA,NA,"Intraspecific","","","Competition-cooperation","Proceedings of the Royal Society B",287,1935,"20201720",2020,"10.1098/rspb.2020.1720",NA,NA,"","burying beetle (Nicrophorus nepalensis)",NA,NA,NA,"Social dominance; behavioural phenotype (participation in cooperative carcass preparation)",NA,NA,NA,NA,"High social status individuals participated more in helping behaviours generally, and subordinate males increased cooperative behaviour under certain environmental conditions",NA,NA,NA,NA,NA,NA,"Include",NA,"Non-systematically sources article","Modelling","","","(Liu et al., 2020) non-systematic","Competition-cooperation (Intraspecific)"
"39","non-systematic",39,NA,"Enforced altruism in insect societies","Wenseleers, T., & Ratnieks, F. L.","(Wenseleers and Ratnieks, 2006)",NA,"Observational",NA,NA,NA,"Intraspecific","","","Competition-cooperation","Nature",444,7115,"50-50",2006,"10.1038/444050a",NA,NA,NA,"Vespidae spp.; honeybee (Apis mellifera)",NA,NA,NA,"behavioural phenotype (policing behaviour)",NA,NA,NA,NA,"Across species displaying policing behaviour, the effectiveness of policing appears to be associated with the amount of reproductive helping behaviour, so shifts interactions towards greater cooperation",NA,NA,NA,NA,NA,NA,"Include",NA,"Non-systematically sources article","Coop-comp","y","y","(Wenseleers and Ratnieks, 2006) non-systematic","Competition-cooperation (Intraspecific)"
"40","non-systematic",40,NA,"Size matters when three-spined sticklebacks go to school","Ranta, E., Lindström, K., & Peuhkuri, N. ","(Ranta et al., 1992)",NA,"Experimental",NA,NA,NA,"Intraspecific","","","Competition-cooperation","Animal Behaviour",43,1,"160-162",1992,"10.1016/S0003-3472(05)80082-X",NA,NA,NA,"three-spined stickleback (Gasterosteus aculeatus)",NA,NA,NA,"behavioural phenotype (shoaling)",NA,NA,NA,NA,"Variation in shoaling tendency is associated with the size of conspecifics, where individuals prefer to shoal with similar sized individuals",NA,NA,NA,NA,NA,NA,"Include",NA,"Non-systematically sources article","Modelling","y","y","(Ranta et al., 1992) non-systematic","Competition-cooperation (Intraspecific)"
"41","MA386",41,"JW","The social context of a territorial dispute differentially influences the way individuals in breeding pairs coordinate their aggressive tactics","Schuppe, E.R. and Sanin, G.D. and Fuxjager, M.J.","(Schuppe et al., 2016)","Experimental","Experimental","Intraspecific","Intra-specific (within population)","Individuals","Intraspecific","male-female","Competition-cooperation","Male-female","Behavioral Ecology and Sociobiology",70,5,"673-682",2016,"10.1007/s00265-016-2088-0","1/30/2020 0:25:42","JW","Downy woodpecker (Picoides pubescens)","downy woodpecker (Picoides pubescens)","coordinated aggressive responses","Downy woodpecker (Picoides pubescens)","No","Behavioural phenotype (participation in coordinated aggressive responses)","Yes",NA,"social context (i.e., fiercer competition from intruders)","adaptive social decision-making in animals","Individuals show variation in their participation in coordinated, cooperative territory defence of breeding pairs, driven by the level of threat posed","Yes",NA,"No","Yes","","NM","Include",NA,"Agree with reviewer decision","Male-fem","y","y","(Schuppe et al., 2016) MA386","Male-female (Intraspecific)"
"42","MA398",42,"NL","Turn-taking ceremonies in a colonial seabird: Does behavioral variation signal individual condition?","Takahashi, L.S. and Storey, A.E. and Wilhelm, S.I. and Walsh, C.J.","(Takahashi et al., 2017)","Observational, Experimental","Observational; Experimental","Intraspecific","Intra-specific (within population)","Individuals","Intraspecific","competition-cooperation","Male-female, Competition-cooperation","Male-female","Auk",134,3,"530-541",2017,"10.1642/AUK-17-26.1","44137.13214","NL","Common murres (Uria aalge)","common murre (Uria aalge)","behavioural phenotype (Turn-taking, parental care, sociopositive behaviour)","Common murres (Uria aalge)","yes. ""mates should respond to information from their partners if they can do so without compromising their own condition beyond a critical threshold""","Behavioural phenotype (turn-taking, parental care, socio-positive behaviour)","yes (=maintaining its partner's health as well as its own)","Mutualistic to antagonistic, Antagonistic to mutualistic","foraging success, body condition of the partner","Maintanance of long-term pair bond --> Fitness benefits","Variation in breeding partner's participation in cooperative breeding and foraging for offspring, driven by state-dependent effects on behaviour","yes",NA,NA,"Yes","","NM","Include",NA,"Agree with reviewer decision","Male-fem","","y","(Takahashi et al., 2017) MA398","Male-female (Intraspecific)"
"43","MA319",43,"JW","Sexual conflict predicts morphology and behavior in two species of penduline tits","Van Dijk, R.E. and Pogny, . and Komdeur, J. and Lloyd, P. and Szkely, T.","(van Dijk et al., 2010)","Observational","Observational","Intraspecific","Intra-specific (within population)","Individuals, Species","Intraspecific","male-female","Male-female","Male-female","BMC Evolutionary Biology",10,1,NA,2010,"10.1186/1471-2148-10-107","1/29/2020 18:14:43","JW","Eurasian penduline tit (Remiz pendulinus), Cape penduline tit (Anthoscopus minutus)","Eurasian penduline tit (Remiz pendulinus); Cape penduline tit (Anthoscopus minutus)","parental care (sexual conflict over care)","Eurasian penduline tit (Remiz pendulinus), Cape penduline tit (Anthoscopus minutus)","The paper compares the trait across and within species, implying there is a genetic basis to the trait.","Behavioural phenotype (level of parental care, desertion), attractiveness and song complexity in R. pendulinus","Yes","Mutualistic to antagonistic, This question is confusing and context-dependent","Ecological, social","speciation, breeding systems, and the evolution of behavior and morphology","Individual R. pendulinus males show behavioural differences in level of conflict-cooperation within breeding pair, where male attractiveness shifts the quality of the male-female  interaction","Yes",NA,"No","Yes","","NM","Include",NA,"Agree with reviewer decision","Male-fem","y","y","(van Dijk et al., 2010) MA319","Male-female (Intraspecific)"
"44","MA200",44,"CF","Individual variation and the resolution of conflict over parental care in penduline tits","van Dijk, R.E. and Szkely, T. and Komdeur, J. and Pogny, A. and Fawcett, T.W. and Weissing, F.J.","(van Dijk et al., 2012)","Observational, combined with mathematical modelling of the data","Observational; Modelling/theory","Intraspecific","Intra-specific (within population)","Individuals","Intraspecific","male-female","Male-female","Male-female","Proceedings of the Royal Society B: Biological Sciences",279,1735,"1927-1936",2012,"10.1098/rspb.2011.2297","3/26/2020 22:03:46","CF","Penduline tit, Remiz pendulinus","Eurasian penduline tit (Remiz pendulinus)","behaviour, condition, attractiveness","R. pendulinus","No","Behavioural phenotype (level of parental care, desertion), physiological condition and attractiveness","kind of","can take on both directions","mostly social, but also ecological","none as far as I can tell","Individuals show behavioural differences in level of conflict-cooperation within breeding pair, where male attractiveness and condition change the likelihood of male or female abandonment","Yes it seems","this is about parental care and the individuals decision to desert or care for a clutch of eggs",NA,"Yes","","NM","Include",NA,"Agree with reviewer decision","Male-fem","y","y","(van Dijk et al., 2012) MA200","Male-female (Intraspecific)"
"45","non-systematic",45,NA,"Testosterone levels in dominant sociable males are lower than in solitary roamers: physiological differences between three male reproductive tactics in a sociably flexible mammal","Schradin, C., Scantlebury, M., Pillay, N., & König, B. ","(Schradin et al., 2009)",NA,"Experimental",NA,NA,NA,"Intraspecific","","","Male-female; Competition-cooperation","The American Naturalist",173,3,"376-388.",2009,"10.1086/596535",NA,NA,NA,"African striped mouse (Rhabdomys pumilio)",NA,NA,NA,"Behavioural phenotype (sociality, solitary or group living); physiological condition (testosterone, corticosterone, resting metabolic rate)",NA,NA,NA,NA,"Variation in living strategy is associated with different levels of social cooperation-competition, and is associated with variation in male hormones and metabolism",NA,NA,NA,NA,NA,NA,"Include",NA,"Non-systematically sources article","Male-fem","y","y","(Schradin et al., 2009) non-systematic","Male-female; Competition-cooperation (Intraspecific)"
"46","MA236",46,"JW","Male reproductive skew is higher in bonobos than chimpanzees","Surbeck, M. and Langergraber, K.E. and Fruth, B. and Vigilant, L. and Hohmann, G.","(Surbeck et al., 2017)","Observational","Observational","Intraspecific","Intra-specific (within population)","Populations","Intraspecific","male-female","Male-female","Male-female; Competition-cooperation","Current Biology",27,13,"R640-R641",2017,"10.1016/j.cub.2017.05.039","1/28/2020 23:02:25","JW","Non-interacting species: bonobos (Pan paniscus) and chimpanzees (Pan troglodytes)","bonobo (Pan paniscus); chimpanzee (Pan troglodytes)","reproductive skew","Non-interacting species: bonobos (Pan paniscus) and chimpanzees (Pan troglodytes)","No, but the authors make the argument that reproductive skew is species-specific","Social dominance (related traits that determine male competitive ability)","Yes","Mutualistic to antagonistic, Depending on the order of the species considered, bonobos to chimps","social","evolution of social and mating systems","Composition of male competitive traits determines the distribution of reproductive success (reproductive skew), where degree of skew shows variation in the level cooperation-conflict between group males, and variation in sexual conflict due to effects on female choice","Yes",NA,"No","Yes","","NM","Include",NA,"Agree with reviewer decision","Male-fem","","y","(Surbeck et al., 2017) MA236","Male-female; Competition-cooperation (Intraspecific)"
"47","MA321",47,"CF","Sexual cooperation relies on food controlled by females in agromyzid flies","Ge, J. and Wei, J. and Tao, Y. and Kang, L.","(Ge et al., 2019)","Experimental","Experimental","Intraspecific","Intra-specific (within population)","Individuals","Intraspecific","male-female","Male-female","Male-female","Animal Behaviour",149,NA,"55-63",2019,"10.1016/j.anbehav.2019.01.001","3/24/2020 20:33:57","CF","pea leafminer, Liriomyza huidobrensis","pea leafminer (Liriomyza huidobrensis)","food availability","pea leafminer","no","Reproductive behaviour of males (courtship strategy, female oviposition puncture rate)","potentially, the antagonism is not cleary defined here","Antagonistic to mutualistic, can actually potentially go in both direction, depending on starvation status of males","abiotic, food availability, but this is dependent on female behaviour, so partly also social","not mentioned but these leafminers feed by puncturing bean plants, so potential ecological impact","Individual males and females vary in reproductive behaviour that shifts the balance of sexual conflict between cooperation and conflict, where low food availability promotes a cooperative strategy ","not clear, I would say barely","","I think the individual level is not strictly carved out. They created starved and non-starved male groups, if that is enought, then maybe the individuality criterium is covered","Yes","","NM","Include",NA,"Agree with reviewer decision","Male-fem","","y","(Ge et al., 2019) MA321","Male-female (Intraspecific)"
